car,high_panels,low_panels,unique_vertices,atlas_slots,fit_ms,native_high_ms,native_low_ms,atlas32_high_ms,half_high_ms,half_atlas32_high_ms,three_quarter_high_ms
MAGNUM,1192,760,1553,11,0.0196,1.4619,1.3267,1.3116,0.5467,0.5009,0.9479
SONIC,1225,793,1594,12,0.0197,1.3965,1.2912,1.2714,0.5275,0.4889,0.9249
TRIDAGGER,1171,739,1409,8,0.0190,1.5074,1.3677,1.2998,0.5563,0.5071,0.9647
BROCKEN,1361,917,1906,9,0.0219,1.8538,1.6953,1.7803,0.7154,0.6709,1.2393
COBRA,1239,759,1557,8,0.0199,1.5168,1.3510,1.3999,0.6012,0.5597,1.0157
SPIDER,1171,739,1366,10,0.0198,1.5030,1.3926,1.3768,0.5858,0.5521,0.9800
STINGER,1565,965,2095,5,0.0268,1.7763,1.5823,1.6979,0.6835,0.6543,1.1765
DIOSPADA,1335,867,1704,8,0.0229,1.6301,1.5027,1.5960,0.6382,0.6076,1.1048
