car,high_panels,low_panels,unique_vertices,atlas_slots,fit_ms,native_high_ms,native_low_ms,atlas32_high_ms,half_high_ms,half_atlas32_high_ms,three_quarter_high_ms
MAGNUM,1192,760,1553,11,0.0209,1.4897,1.3655,1.3379,0.5556,0.5143,0.9804
SONIC,1225,793,1594,12,0.0210,1.4472,1.3177,1.3186,0.5431,0.5039,0.9432
TRIDAGGER,1171,739,1409,8,0.0198,1.4898,1.4233,1.3440,0.5673,0.5168,0.9942
BROCKEN,1361,917,1906,9,0.0229,1.9323,1.7104,1.7428,0.7324,0.6839,1.2616
COBRA,1239,759,1557,8,0.0214,1.5703,1.4046,1.4535,0.5822,0.5717,1.0243
SPIDER,1171,739,1366,10,0.0205,1.5123,1.4038,1.3935,0.5804,0.5507,1.0040
STINGER,1565,965,2095,5,0.0268,1.7827,1.5476,1.7172,0.6872,0.6621,1.1870
DIOSPADA,1335,867,1704,8,0.0223,1.6292,1.4981,1.5950,0.6348,0.6109,1.0915
