car,high_panels,low_panels,unique_vertices,atlas_slots,fit_ms,native_high_ms,native_low_ms,atlas32_high_ms,half_high_ms,half_atlas32_high_ms,three_quarter_high_ms
MAGNUM,1192,760,1553,11,0.0563,1.5708,1.3830,1.3158,0.5480,0.5003,0.9611
SONIC,1225,793,1594,12,0.0195,1.3977,1.2882,1.2739,0.5668,0.5082,0.9462
TRIDAGGER,1171,739,1409,8,0.0213,1.4918,1.4212,1.5909,0.5593,0.5216,1.5106
BROCKEN,1361,917,1906,9,0.0235,1.8480,1.6760,1.6902,0.7064,0.6585,1.2460
COBRA,1239,759,1557,8,0.0198,1.4781,1.3934,1.4225,0.5721,0.5544,0.9919
SPIDER,1171,739,1366,10,0.0204,1.4971,1.3725,1.3575,0.5771,0.5337,0.9788
STINGER,1565,965,2095,5,0.0262,1.7043,1.5090,1.6420,0.6667,0.6439,1.1191
DIOSPADA,1335,867,1704,8,0.0213,1.6288,1.4825,1.5200,0.6198,0.5948,1.0903
