car,track,frame,mode,draw,present,road,faces,upscale,player,opponents,total
1,0,9,1,157341,31443,14459,95,20232,35963,56133,188784
1,0,10,0,138314,31446,12049,42,20201,38267,58825,169760
1,0,10,1,138162,31700,12010,42,20217,38256,58874,169862
1,0,11,0,117589,31423,24201,370,20225,38708,25348,149012
1,0,11,1,118502,31478,24991,370,20208,38727,25407,149980
1,0,12,0,133237,31433,16875,194,20245,34070,53081,164670
1,0,12,1,133010,31479,16874,194,20243,34040,53066,164489
1,1,1,0,141682,31464,18121,196,20225,37678,56750,173146
1,1,1,1,163278,31490,18130,196,20224,37654,56726,194768
1,1,2,0,118213,31508,18816,123,20212,28037,42174,149721
1,1,2,1,118196,31715,18796,123,20209,28070,42229,149911
1,1,3,0,105401,31450,14535,61,20211,35964,25519,136851
1,1,3,1,103621,31429,13431,61,20219,35789,25004,135050
1,1,4,0,141686,31455,12446,62,20226,39156,60787,173141
1,1,4,1,141603,31472,12390,62,20229,39162,60861,173075
1,1,5,0,143442,31460,19355,244,20210,37858,57018,174902
1,1,5,1,144674,31432,19349,244,20235,37861,58035,176106
1,1,6,0,120040,31481,20429,123,20235,28032,42194,151521
1,1,6,1,139665,31477,18905,123,20237,28022,42191,171142
1,1,7,0,103220,31465,13243,61,20223,35844,24948,134685
1,1,7,1,103328,31445,13253,61,20227,35832,24931,134773
1,1,8,0,142095,31444,12349,62,20457,39250,60853,173539
1,1,8,1,142116,31500,12327,62,20225,39136,61443,173616
1,1,9,0,142183,31507,18273,196,20207,37813,56966,173690
1,1,9,1,143550,31467,19361,196,20220,37783,56999,175017
1,1,10,0,118277,31465,18853,123,20242,28046,42128,149742
1,1,10,1,119792,31463,18836,123,20269,28280,43477,151255
1,1,11,0,105615,31425,15391,93,20224,35829,25086,137040
1,1,11,1,105848,31428,14343,93,20225,36403,25402,137276
1,1,12,0,171775,31489,14414,110,20250,42398,64013,203264
1,1,12,1,150134,31453,14429,110,20247,42393,64030,181587
1,2,1,0,143285,31479,16541,83,20223,37744,60156,174764
1,2,1,1,138752,31479,12057,83,20203,37777,60125,170231
1,2,2,0,157645,31445,26111,330,20257,39300,63242,189090
1,2,2,1,156589,31485,23550,330,20252,39540,64641,188074
1,2,3,0,109448,31441,19830,129,20206,35414,25146,140889
1,2,3,1,105150,31440,14937,129,20568,35737,25137,136590
1,2,4,0,174554,31434,13981,139,20224,41181,68766,205988
1,2,4,1,149948,31473,11242,139,20230,41195,68748,181421
1,2,5,0,133669,31463,14572,64,20216,35489,54745,165132
1,2,5,1,129834,31461,11109,64,20207,34963,54612,161295
1,2,6,0,142156,31470,30725,541,20241,31585,50988,173626
1,2,6,1,141477,31450,29961,541,20229,31591,51039,172927
1,2,7,0,106497,31453,20486,217,20245,32452,24593,137950
1,2,7,1,101934,31446,17465,217,20243,31183,24218,133380
1,2,8,0,127588,31435,13730,89,20195,33159,51746,159023
1,2,8,1,123940,31451,10653,89,20205,33130,51291,155391
1,2,9,0,138512,31458,15660,108,20210,28589,43924,169970
1,2,9,1,115056,31479,13571,108,20216,28545,43933,146535
1,2,10,0,128000,31472,16050,108,20216,32180,50886,159472
1,2,10,1,124197,31960,12619,108,20214,32179,50677,156157
1,2,11,0,123079,31421,34485,540,20251,34574,24989,154500
1,2,11,1,121796,31437,33196,540,20243,34571,24958,153233
1,2,12,0,138070,31475,18396,127,20218,35402,55244,169545
1,2,12,1,133133,31725,13625,127,20224,35409,55276,164858
2,0,1,0,122876,31453,13593,68,20222,31566,48651,154329
2,0,1,1,121751,31452,12550,68,20224,31550,48617,153203
2,0,2,0,145185,31509,15561,118,20210,31268,47766,176694
2,0,2,1,123359,31494,15512,118,20208,31312,47540,154853
2,0,3,0,100754,31443,14031,95,20233,30674,26846,132197
2,0,3,1,100802,31458,14060,95,20224,30659,26827,132260
2,0,4,0,126623,31448,12534,46,20208,34608,50345,158071
2,0,4,1,127722,31464,13584,46,20196,34690,50387,159186
2,0,5,0,136706,31449,25002,312,20257,32530,50096,168155
2,0,5,1,135010,31456,25019,312,20238,31767,48851,166466
2,0,6,0,125757,31474,15650,138,20246,31803,49185,157231
2,0,6,1,125662,31451,15638,138,20234,31809,49226,157113
2,0,7,0,126197,31515,13054,68,20453,34708,27824,157712
2,0,7,1,105844,31435,14065,68,20227,34573,27826,137279
2,0,8,0,138276,31464,14381,111,20227,37625,57095,169740
2,0,8,1,137619,31457,14336,111,20233,37600,56669,169076
2,0,9,0,132353,31500,13975,95,20231,35566,53776,163853
2,0,9,1,132489,31440,13998,95,20219,35561,53765,163929
2,0,10,0,136951,31480,13132,42,20444,37898,56385,168431
2,0,10,1,137367,31441,12022,42,20220,37803,58371,168808
2,0,11,0,119422,31439,23852,370,20240,38254,28146,150861
2,0,11,1,119485,31444,23830,370,20246,38250,28172,150929
2,0,12,0,130562,31470,16899,194,20242,33517,51015,162032
2,0,12,1,131922,31480,17963,194,20236,33458,51397,163402
2,1,1,0,138780,31474,18099,196,20237,36980,54606,170254
2,1,1,1,138828,31459,18109,196,20222,37019,54604,170287
2,1,2,0,118455,31467,19905,123,20231,27325,41764,149922
2,1,2,1,116595,31976,18774,123,20240,27183,41572,148571
2,1,3,0,105862,31431,13422,61,20216,35270,27796,137293
2,1,3,1,107378,31439,13477,61,20233,35488,28965,138817
2,1,4,0,138549,31439,12395,62,20231,38813,58021,169988
2,1,4,1,138423,31733,12389,62,20235,38756,58118,170156
2,1,5,0,162394,31472,19385,244,20224,37268,54799,193866
2,1,5,1,141905,31487,20413,244,20223,37159,54913,173392
2,1,6,0,116840,31475,18917,123,20236,27169,41509,148315
2,1,6,1,116772,31458,18912,123,20240,27183,41551,148230
2,1,7,0,106852,31471,14355,61,20202,35205,27930,138323
2,1,7,1,105661,31679,13236,61,20206,35246,27843,137340
2,1,8,0,139250,31465,12382,62,20705,38980,58051,170715
2,1,8,1,139741,31480,12336,62,20246,39021,59148,171221
2,1,9,0,139384,31473,18270,196,20234,37148,54798,170857
2,1,9,1,139432,31470,18290,196,20232,37181,54687,170902
2,1,10,0,116765,31471,18860,123,20218,27186,41523,148236
2,1,10,1,119161,31481,19902,123,20232,27914,42134,150642
2,1,11,0,106807,31447,14356,93,20231,35245,27901,138254
2,1,11,1,128080,31464,14320,93,20234,35308,27842,159544
2,1,12,0,146197,31472,14421,110,20230,41364,61153,177669
2,1,12,1,146583,31465,14433,110,20269,41473,61419,178048
2,2,1,0,139167,31497,15407,83,20240,37499,57436,170664
2,2,1,1,135801,31465,12080,83,20236,37517,57366,167266
2,2,2,0,154877,31452,26346,330,20252,39061,60520,186329
2,2,2,1,152579,31457,23559,330,20238,39630,60585,184036
2,2,3,0,110670,31454,18732,129,20228,34839,28055,142124
2,2,3,1,129480,31427,15965,129,20204,34855,28087,160907
2,2,4,0,149109,31478,13999,139,20239,41250,65039,180587
2,2,4,1,146660,31478,11490,139,20233,41259,65098,178138
2,2,5,0,131636,31462,14572,64,20206,35479,52731,163098
2,2,5,1,128730,31464,12210,64,20196,34940,52619,160194
2,2,6,0,140047,31467,30756,541,20242,31049,49366,171514
2,2,6,1,138143,31474,28884,541,20227,31085,49396,169617
2,2,7,0,107399,31425,20442,217,20247,30471,26990,138824
2,2,7,1,103965,31420,17517,217,20226,30478,26962,135385
2,2,8,0,124508,31450,13711,89,20213,32486,49466,155958
2,2,8,1,144144,31478,11726,89,20211,32445,49563,175622
2,2,9,0,115318,31452,15673,108,20218,27931,42929,146770
2,2,9,1,111853,31439,12518,108,20216,27667,42812,143292
2,2,10,0,125295,31960,16068,108,20232,31568,48755,157255
2,2,10,1,123082,31459,13704,108,20217,31558,48831,154541
2,2,11,0,125252,31438,34520,540,20239,33979,27738,156690
