# Filtered serial record, 2026-09-24
# pass rows members extra crossing even_members odd_members even_rows odd_rows max_active max_carry stream_bytes carry_command_bytes
0 8 3788 1868 1306 1964 1824 9019 8292 328 181 45456 2172
0 12 3203 1284 1079 1631 1572 9067 8245 369 169 38436 2028
0 16 2839 920 848 1380 1459 8414 8898 392 152 34068 1824
1 8 3787 1868 1306 1964 1823 9016 8291 328 181 45444 2172
1 12 3202 1283 1079 1630 1572 9062 8245 366 169 38424 2028
1 16 2839 920 848 1380 1458 8414 8894 391 158 34068 1896
2 8 3788 1868 1306 1964 1823 9017 8292 327 181 45456 2172
2 12 3203 1283 1079 1630 1572 9063 8246 366 169 38436 2028
2 16 2839 920 848 1380 1459 8415 8894 391 158 34068 1896
