garage_high mean_ms=1.714 median_ms=1.675 p95_ms=1.749
garage_low mean_ms=2.910 median_ms=2.885 p95_ms=4.107
inspection_0_scale_100 mean_ms=1.803 median_ms=1.597 p95_ms=2.587
inspection_0_scale_85 mean_ms=1.412 median_ms=1.305 p95_ms=2.041
inspection_0_scale_80 mean_ms=1.225 median_ms=1.151 p95_ms=1.919
inspection_0_scale_75 mean_ms=1.058 median_ms=1.065 p95_ms=1.152
inspection_0_scale_50 mean_ms=0.741 median_ms=0.726 p95_ms=0.834
inspection_1_scale_100 mean_ms=1.547 median_ms=1.546 p95_ms=1.659
inspection_1_scale_85 mean_ms=1.209 median_ms=1.188 p95_ms=1.326
inspection_1_scale_80 mean_ms=1.155 median_ms=1.141 p95_ms=1.217
inspection_1_scale_75 mean_ms=1.136 median_ms=1.110 p95_ms=1.267
inspection_1_scale_50 mean_ms=1.397 median_ms=0.815 p95_ms=3.787
inspection_2_scale_100 mean_ms=2.167 median_ms=1.860 p95_ms=3.617
inspection_2_scale_85 mean_ms=1.249 median_ms=1.236 p95_ms=1.403
inspection_2_scale_80 mean_ms=1.247 median_ms=1.127 p95_ms=1.816
inspection_2_scale_75 mean_ms=1.081 median_ms=1.063 p95_ms=1.189
inspection_2_scale_50 mean_ms=0.700 median_ms=0.698 p95_ms=0.754
inspection_3_scale_100 mean_ms=1.897 median_ms=1.901 p95_ms=2.151
inspection_3_scale_85 mean_ms=1.505 median_ms=1.554 p95_ms=1.717
inspection_3_scale_80 mean_ms=1.394 median_ms=1.407 p95_ms=1.608
inspection_3_scale_75 mean_ms=1.320 median_ms=1.351 p95_ms=1.509
inspection_3_scale_50 mean_ms=0.880 median_ms=0.880 p95_ms=1.003
inspection_4_scale_100 mean_ms=1.559 median_ms=1.557 p95_ms=1.691
inspection_4_scale_85 mean_ms=1.242 median_ms=1.261 p95_ms=1.321
inspection_4_scale_80 mean_ms=1.346 median_ms=1.226 p95_ms=2.317
inspection_4_scale_75 mean_ms=1.293 median_ms=1.196 p95_ms=1.954
inspection_4_scale_50 mean_ms=0.764 median_ms=0.735 p95_ms=0.850
inspection_5_scale_100 mean_ms=1.517 median_ms=1.490 p95_ms=1.650
inspection_5_scale_85 mean_ms=1.202 median_ms=1.192 p95_ms=1.312
inspection_5_scale_80 mean_ms=1.125 median_ms=1.113 p95_ms=1.240
inspection_5_scale_75 mean_ms=1.051 median_ms=1.058 p95_ms=1.151
inspection_5_scale_50 mean_ms=0.727 median_ms=0.728 p95_ms=0.798
inspection_6_scale_100 mean_ms=1.863 median_ms=1.803 p95_ms=2.306
inspection_6_scale_85 mean_ms=1.457 median_ms=1.481 p95_ms=1.626
inspection_6_scale_80 mean_ms=1.384 median_ms=1.372 p95_ms=1.526
inspection_6_scale_75 mean_ms=1.254 median_ms=1.250 p95_ms=1.369
inspection_6_scale_50 mean_ms=0.865 median_ms=0.867 p95_ms=0.951
inspection_7_scale_100 mean_ms=1.638 median_ms=1.612 p95_ms=1.883
inspection_7_scale_85 mean_ms=1.287 median_ms=1.232 p95_ms=1.494
inspection_7_scale_80 mean_ms=1.183 median_ms=1.165 p95_ms=1.350
inspection_7_scale_75 mean_ms=1.117 median_ms=1.129 p95_ms=1.285
inspection_7_scale_50 mean_ms=0.777 median_ms=0.788 p95_ms=0.872
race_high mean_ms=0.973 median_ms=1.034 p95_ms=1.106
race_low mean_ms=0.901 median_ms=0.891 p95_ms=1.048
race_close_high mean_ms=1.177 median_ms=1.096 p95_ms=1.669
race_close_low mean_ms=1.082 median_ms=1.045 p95_ms=1.507
race_nearclip_low mean_ms=0.845 median_ms=0.742 p95_ms=1.178
track_0_solid mean_ms=0.177 median_ms=0.156 p95_ms=0.269
track_0_wire mean_ms=0.114 median_ms=0.085 p95_ms=0.277
track_1_solid mean_ms=0.170 median_ms=0.167 p95_ms=0.229
track_1_wire mean_ms=0.080 median_ms=0.076 p95_ms=0.140
