garage_high mean_ms=1.778 median_ms=1.780 p95_ms=1.882
garage_low mean_ms=1.619 median_ms=1.626 p95_ms=1.688
inspection_0_scale_100 mean_ms=1.605 median_ms=1.580 p95_ms=1.796
inspection_0_scale_85 mean_ms=1.294 median_ms=1.290 p95_ms=1.439
inspection_0_scale_80 mean_ms=1.220 median_ms=1.208 p95_ms=1.308
inspection_0_scale_75 mean_ms=1.120 median_ms=1.128 p95_ms=1.231
inspection_0_scale_50 mean_ms=0.770 median_ms=0.771 p95_ms=0.806
inspection_1_scale_100 mean_ms=1.578 median_ms=1.554 p95_ms=1.735
inspection_1_scale_85 mean_ms=1.273 median_ms=1.268 p95_ms=1.421
inspection_1_scale_80 mean_ms=1.208 median_ms=1.201 p95_ms=1.312
inspection_1_scale_75 mean_ms=1.091 median_ms=1.094 p95_ms=1.166
inspection_1_scale_50 mean_ms=0.765 median_ms=0.760 p95_ms=0.810
inspection_2_scale_100 mean_ms=1.587 median_ms=1.582 p95_ms=1.729
inspection_2_scale_85 mean_ms=1.269 median_ms=1.252 p95_ms=1.396
inspection_2_scale_80 mean_ms=1.181 median_ms=1.187 p95_ms=1.259
inspection_2_scale_75 mean_ms=1.115 median_ms=1.108 p95_ms=1.202
inspection_2_scale_50 mean_ms=0.753 median_ms=0.748 p95_ms=0.801
inspection_3_scale_100 mean_ms=1.968 median_ms=2.022 p95_ms=2.259
inspection_3_scale_85 mean_ms=1.580 median_ms=1.627 p95_ms=1.817
inspection_3_scale_80 mean_ms=1.489 median_ms=1.523 p95_ms=1.698
inspection_3_scale_75 mean_ms=1.396 median_ms=1.419 p95_ms=1.568
inspection_3_scale_50 mean_ms=0.907 median_ms=0.938 p95_ms=1.033
inspection_4_scale_100 mean_ms=1.632 median_ms=1.623 p95_ms=1.789
inspection_4_scale_85 mean_ms=1.316 median_ms=1.317 p95_ms=1.434
inspection_4_scale_80 mean_ms=1.233 median_ms=1.229 p95_ms=1.342
inspection_4_scale_75 mean_ms=1.160 median_ms=1.150 p95_ms=1.263
inspection_4_scale_50 mean_ms=0.777 median_ms=0.779 p95_ms=0.834
inspection_5_scale_100 mean_ms=1.593 median_ms=1.573 p95_ms=1.765
inspection_5_scale_85 mean_ms=1.291 median_ms=1.287 p95_ms=1.421
inspection_5_scale_80 mean_ms=1.204 median_ms=1.205 p95_ms=1.332
inspection_5_scale_75 mean_ms=1.118 median_ms=1.098 p95_ms=1.236
inspection_5_scale_50 mean_ms=0.748 median_ms=0.750 p95_ms=0.782
inspection_6_scale_100 mean_ms=2.014 median_ms=2.047 p95_ms=2.296
inspection_6_scale_85 mean_ms=1.567 median_ms=1.582 p95_ms=1.696
inspection_6_scale_80 mean_ms=1.463 median_ms=1.468 p95_ms=1.630
inspection_6_scale_75 mean_ms=1.345 median_ms=1.333 p95_ms=1.526
inspection_6_scale_50 mean_ms=0.915 median_ms=0.917 p95_ms=1.031
inspection_7_scale_100 mean_ms=1.699 median_ms=1.725 p95_ms=1.909
inspection_7_scale_85 mean_ms=1.376 median_ms=1.331 p95_ms=1.586
inspection_7_scale_80 mean_ms=1.304 median_ms=1.325 p95_ms=1.492
inspection_7_scale_75 mean_ms=1.215 median_ms=1.188 p95_ms=1.376
inspection_7_scale_50 mean_ms=0.810 median_ms=0.813 p95_ms=0.915
race_high mean_ms=0.990 median_ms=1.005 p95_ms=1.161
race_low mean_ms=0.919 median_ms=0.917 p95_ms=1.032
race_close_high mean_ms=1.197 median_ms=1.099 p95_ms=1.727
race_close_low mean_ms=1.205 median_ms=1.082 p95_ms=2.019
race_nearclip_low mean_ms=0.839 median_ms=0.749 p95_ms=1.137
track_0_solid mean_ms=0.172 median_ms=0.151 p95_ms=0.261
track_0_wire mean_ms=0.112 median_ms=0.083 p95_ms=0.267
track_1_solid mean_ms=0.171 median_ms=0.174 p95_ms=0.228
track_1_wire mean_ms=0.079 median_ms=0.073 p95_ms=0.132
