garage_high mean_ms=1.734 median_ms=1.742 p95_ms=1.821
garage_low mean_ms=1.561 median_ms=1.542 p95_ms=1.679
inspection_0_scale_100 mean_ms=1.537 median_ms=1.544 p95_ms=1.678
inspection_0_scale_85 mean_ms=1.235 median_ms=1.222 p95_ms=1.342
inspection_0_scale_80 mean_ms=1.151 median_ms=1.148 p95_ms=1.269
inspection_0_scale_75 mean_ms=1.083 median_ms=1.078 p95_ms=1.194
inspection_0_scale_50 mean_ms=0.730 median_ms=0.723 p95_ms=0.797
inspection_1_scale_100 mean_ms=1.504 median_ms=1.489 p95_ms=1.631
inspection_1_scale_85 mean_ms=1.196 median_ms=1.195 p95_ms=1.298
inspection_1_scale_80 mean_ms=1.117 median_ms=1.105 p95_ms=1.210
inspection_1_scale_75 mean_ms=1.046 median_ms=1.042 p95_ms=1.132
inspection_1_scale_50 mean_ms=0.715 median_ms=0.714 p95_ms=0.754
inspection_2_scale_100 mean_ms=1.478 median_ms=1.474 p95_ms=1.612
inspection_2_scale_85 mean_ms=1.190 median_ms=1.185 p95_ms=1.285
inspection_2_scale_80 mean_ms=1.114 median_ms=1.114 p95_ms=1.200
inspection_2_scale_75 mean_ms=1.042 median_ms=1.034 p95_ms=1.127
inspection_2_scale_50 mean_ms=0.704 median_ms=0.697 p95_ms=0.752
inspection_3_scale_100 mean_ms=1.856 median_ms=1.895 p95_ms=2.106
inspection_3_scale_85 mean_ms=1.500 median_ms=1.517 p95_ms=1.705
inspection_3_scale_80 mean_ms=1.400 median_ms=1.434 p95_ms=1.581
inspection_3_scale_75 mean_ms=1.304 median_ms=1.323 p95_ms=1.463
inspection_3_scale_50 mean_ms=0.870 median_ms=0.875 p95_ms=0.966
inspection_4_scale_100 mean_ms=1.526 median_ms=1.526 p95_ms=1.664
inspection_4_scale_85 mean_ms=1.229 median_ms=1.219 p95_ms=1.334
inspection_4_scale_80 mean_ms=1.152 median_ms=1.150 p95_ms=1.271
inspection_4_scale_75 mean_ms=1.073 median_ms=1.079 p95_ms=1.176
inspection_4_scale_50 mean_ms=0.755 median_ms=0.745 p95_ms=0.846
inspection_5_scale_100 mean_ms=1.522 median_ms=1.526 p95_ms=1.688
inspection_5_scale_85 mean_ms=1.206 median_ms=1.191 p95_ms=1.337
inspection_5_scale_80 mean_ms=1.120 median_ms=1.108 p95_ms=1.233
inspection_5_scale_75 mean_ms=1.059 median_ms=1.071 p95_ms=1.162
inspection_5_scale_50 mean_ms=0.745 median_ms=0.743 p95_ms=0.900
inspection_6_scale_100 mean_ms=1.917 median_ms=1.914 p95_ms=2.274
inspection_6_scale_85 mean_ms=1.510 median_ms=1.534 p95_ms=1.641
inspection_6_scale_80 mean_ms=1.382 median_ms=1.409 p95_ms=1.495
inspection_6_scale_75 mean_ms=1.286 median_ms=1.275 p95_ms=1.426
inspection_6_scale_50 mean_ms=0.862 median_ms=0.865 p95_ms=0.936
inspection_7_scale_100 mean_ms=1.621 median_ms=1.627 p95_ms=1.843
inspection_7_scale_85 mean_ms=1.314 median_ms=1.312 p95_ms=1.513
inspection_7_scale_80 mean_ms=1.224 median_ms=1.216 p95_ms=1.355
inspection_7_scale_75 mean_ms=1.136 median_ms=1.136 p95_ms=1.300
inspection_7_scale_50 mean_ms=0.763 median_ms=0.768 p95_ms=0.848
race_high mean_ms=0.930 median_ms=0.946 p95_ms=1.059
race_low mean_ms=0.850 median_ms=0.865 p95_ms=0.961
race_close_high mean_ms=1.105 median_ms=1.001 p95_ms=1.545
race_close_low mean_ms=1.020 median_ms=0.942 p95_ms=1.371
race_nearclip_low mean_ms=0.786 median_ms=0.691 p95_ms=1.063
track_0_solid mean_ms=0.163 median_ms=0.144 p95_ms=0.250
track_0_wire mean_ms=0.106 median_ms=0.078 p95_ms=0.257
track_1_solid mean_ms=0.160 median_ms=0.165 p95_ms=0.210
track_1_wire mean_ms=0.079 median_ms=0.074 p95_ms=0.137
