car,frame,mode,percent,draw,present,total,phase
2,9,2,85,134907,23312,158219,transition
2,10,0,100,176818,31591,208409,native
2,10,1,100,174447,23307,197754,native
2,10,2,100,174208,23292,197500,native
2,11,0,100,177419,31584,209003,transition
2,11,1,100,178055,23326,201381,transition
2,11,2,85,151454,23319,174773,transition
2,12,0,100,139383,31580,170963,transition
2,12,1,100,136491,23328,159819,transition
2,12,2,85,122601,23332,145933,transition
2,13,0,100,117510,31613,149123,transition
2,13,1,100,115806,23286,139092,transition
2,13,2,85,106018,23291,129309,transition
2,14,0,100,117721,31807,149528,transition
2,14,1,100,115014,23320,138334,transition
2,14,2,85,106451,23348,129799,transition
2,15,0,100,126221,31604,157825,native
2,15,1,100,122746,23329,146075,native
2,15,2,100,126566,23303,149869,native
2,16,0,100,126011,31632,157643,native
2,16,1,100,122970,23330,146300,native
2,16,2,100,123025,23324,146349,native
2,17,0,100,125461,31596,157057,native
2,17,1,100,122770,23308,146078,native
2,17,2,100,122961,23337,146298,native
2,18,0,100,125663,31578,157241,native
2,18,1,100,122895,23307,146202,native
2,18,2,100,123339,23303,146642,native
2,19,0,100,128792,31626,160418,native
2,19,1,100,122991,23309,146300,native
2,19,2,100,122766,23296,146062,native
3,1,0,100,126437,31573,158010,drag
3,1,1,100,124158,23302,147460,drag
3,1,2,65,93898,23308,117206,drag
3,2,0,100,102685,31544,134229,drag
3,2,1,100,100390,23295,123685,drag
3,2,2,65,81805,23293,105098,drag
3,3,0,100,123431,31554,154985,drag
3,3,1,100,124791,23296,148087,drag
3,3,2,65,92082,23295,115377,drag
3,4,0,100,114225,31563,145788,drag
3,4,1,100,112803,23289,136092,drag
3,4,2,65,87787,23321,111108,drag
3,5,0,100,131037,31550,162587,drag
3,5,1,100,129122,23309,152431,drag
3,5,2,65,96093,23308,119401,drag
3,6,0,100,131742,31574,163316,transition
3,6,1,100,128862,23294,152156,transition
3,6,2,85,117877,23322,141199,transition
3,7,0,100,120425,31570,151995,transition
3,7,1,100,118303,23290,141593,transition
3,7,2,85,113680,23325,137005,transition
3,8,0,100,117933,31547,149480,transition
3,8,1,100,115724,23333,139057,transition
3,8,2,85,107793,23288,131081,transition
3,9,0,100,166528,31581,198109,transition
3,9,1,100,164511,23274,187785,transition
3,9,2,85,145911,23290,169201,transition
3,10,0,100,192934,31584,224518,native
3,10,1,100,187281,23332,210613,native
3,10,2,100,187097,23274,210371,native
3,11,0,100,189299,31562,220861,transition
3,11,1,100,187018,23310,210328,transition
3,11,2,85,163808,23313,187121,transition
3,12,0,100,152106,31593,183699,transition
3,12,1,100,149577,23286,172863,transition
3,12,2,85,133506,23299,156805,transition
3,13,0,100,131976,31552,163528,transition
3,13,1,100,129964,23318,153282,transition
3,13,2,85,118123,23283,141406,transition
3,14,0,100,135473,31586,167059,transition
3,14,1,100,132671,23295,155966,transition
3,14,2,85,125073,23340,148413,transition
3,15,0,100,145337,31565,176902,native
3,15,1,100,143008,23277,166285,native
3,15,2,100,143274,23300,166574,native
3,16,0,100,145131,31580,176711,native
3,16,1,100,143686,23296,166982,native
3,16,2,100,142981,23299,166280,native
3,17,0,100,145428,31597,177025,native
3,17,1,100,147467,23326,170793,native
3,17,2,100,143182,23293,166475,native
3,18,0,100,145313,31561,176874,native
3,18,1,100,142953,23287,166240,native
3,18,2,100,142998,23280,166278,native
3,19,0,100,145190,31557,176747,native
3,19,1,100,143433,23312,166745,native
3,19,2,100,143910,23287,167197,native
4,1,0,100,116314,31557,147871,drag
4,1,1,100,117650,23367,141017,drag
4,1,2,65,86044,23273,109317,drag
4,2,0,100,97414,31778,129192,drag
4,2,1,100,94950,23262,118212,drag
4,2,2,65,76808,23313,100121,drag
4,3,0,100,115051,31554,146605,drag
4,3,1,100,111789,23265,135054,drag
4,3,2,65,85247,23271,108518,drag
4,4,0,100,103449,31549,134998,drag
4,4,1,100,100797,23300,124097,drag
4,4,2,65,79919,23292,103211,drag
4,5,0,100,123428,31564,154992,drag
4,5,1,100,117438,23273,140711,drag
4,5,2,65,88476,23857,112333,drag
4,6,0,100,120048,31549,151597,transition
4,6,1,100,117355,23299,140654,transition
4,6,2,85,108343,23311,131654,transition
4,7,0,100,110221,31562,141783,transition
4,7,1,100,108455,23279,131734,transition
4,7,2,85,100756,23269,124025,transition
4,8,0,100,112818,31559,144377,transition
4,8,1,100,110609,23260,133869,transition
4,8,2,85,102393,23292,125685,transition
4,9,0,100,152103,31564,183667,transition
4,9,1,100,152421,23361,175782,transition
4,9,2,85,131465,23292,154757,transition
4,10,0,100,171477,31536,203013,native
4,10,1,100,168459,23285,191744,native
4,10,2,100,168603,23270,191873,native
4,11,0,100,170777,31525,202302,transition
4,11,1,100,168497,23299,191796,transition
4,11,2,85,147077,23297,170374,transition
4,12,0,100,135041,32016,167057,transition
4,12,1,100,132505,23323,155828,transition
4,12,2,85,123249,23323,146572,transition
4,13,0,100,113914,31572,145486,transition
4,13,1,100,111240,23295,134535,transition
4,13,2,85,102928,23291,126219,transition
4,14,0,100,112383,31545,143928,transition
4,14,1,100,109663,23279,132942,transition
4,14,2,85,102758,23822,126580,transition
4,15,0,100,119981,31576,151557,native
4,15,1,100,117351,23287,140638,native
4,15,2,100,117601,23282,140883,native
4,16,0,100,123186,31585,154771,native
4,16,1,100,118028,23333,141361,native
4,16,2,100,117361,23285,140646,native
4,17,0,100,119842,31534,151376,native
4,17,1,100,117421,23316,140737,native
4,17,2,100,117501,23295,140796,native
4,18,0,100,120805,31537,152342,native
4,18,1,100,117294,23317,140611,native
4,18,2,100,117256,23287,140543,native
4,19,0,100,119897,31564,151461,native
4,19,1,100,117535,23279,140814,native
4,19,2,100,117640,23259,140899,native
5,1,0,100,127822,31531,159353,drag
5,1,1,100,125035,23300,148335,drag
5,1,2,65,91627,23284,114911,drag
5,2,0,100,105476,31561,137037,drag
5,2,1,100,102673,23282,125955,drag
5,2,2,65,79718,23281,102999,drag
5,3,0,100,125329,31552,156881,drag
5,3,1,100,122975,23261,146236,drag
5,3,2,65,89535,23277,112812,drag
5,4,0,100,112657,31562,144219,drag
5,4,1,100,109986,23348,133334,drag
5,4,2,65,87077,23280,110357,drag
5,5,0,100,131559,31615,163174,drag
5,5,1,100,128304,23301,151605,drag
5,5,2,65,94281,23268,117549,drag
5,6,0,100,131213,31556,162769,transition
5,6,1,100,128223,23283,151506,transition
5,6,2,85,116378,23537,139915,transition
5,7,0,100,120038,31559,151597,transition
5,7,1,100,117444,23287,140731,transition
5,7,2,85,109149,23281,132430,transition
5,8,0,100,127230,31613,158843,transition
5,8,1,100,121463,23273,144736,transition
5,8,2,85,110186,23276,133462,transition
5,9,0,100,170308,31563,201871,transition
5,9,1,100,166894,23278,190172,transition
5,9,2,85,145173,23282,168455,transition
5,10,0,100,194084,31542,225626,native
5,10,1,100,190731,23297,214028,native
5,10,2,100,190856,23331,214187,native
5,11,0,100,196672,31596,228268,transition
5,11,1,100,190843,23309,214152,transition
5,11,2,85,163367,23314,186681,transition
5,12,0,100,149756,31548,181304,transition
5,12,1,100,146301,23313,169614,transition
5,12,2,85,130050,23291,153341,transition
5,13,0,100,122322,31595,153917,transition
5,13,1,100,119172,23324,142496,transition
5,13,2,85,109453,23329,132782,transition
5,14,0,100,117561,31525,149086,transition
5,14,1,100,114753,23275,138028,transition
5,14,2,85,105888,23307,129195,transition
5,15,0,100,128298,31831,160129,native
5,15,1,100,122137,23280,145417,native
5,15,2,100,122824,23279,146103,native
5,16,0,100,124785,31539,156324,native
5,16,1,100,122258,23282,145540,native
5,16,2,100,122015,23258,145273,native
5,17,0,100,124823,31543,156366,native
5,17,1,100,122246,23291,145537,native
5,17,2,100,122515,23271,145786,native
5,18,0,100,124996,31574,156570,native
5,18,1,100,122020,23297,145317,native
5,18,2,100,122040,23294,145334,native
5,19,0,100,124842,31542,156384,native
5,19,1,100,126271,23281,149552,native
5,19,2,100,122741,23309,146050,native
6,1,0,100,123423,31546,154969,drag
6,1,1,100,121419,23291,144710,drag
6,1,2,65,93409,23285,116694,drag
6,2,0,100,103439,31564,135003,drag
6,2,1,100,104848,23333,128181,drag
6,2,2,65,82892,23333,106225,drag
6,3,0,100,122265,31601,153866,drag
6,3,1,100,119341,23306,142647,drag
6,3,2,65,92117,23279,115396,drag
6,4,0,100,110215,31568,141783,drag
6,4,1,100,108071,23323,131394,drag
6,4,2,65,86777,23538,110315,drag
6,5,0,100,125827,31553,157380,drag
6,5,1,100,123644,23286,146930,drag
6,5,2,65,96480,23272,119752,drag
6,6,0,100,125959,31545,157504,transition
6,6,1,100,123934,23287,147221,transition
6,6,2,85,118636,23297,141933,transition
6,7,0,100,116923,31541,148464,transition
6,7,1,100,114930,23337,138267,transition
6,7,2,85,108026,23305,131331,transition
6,8,0,100,119034,31604,150638,transition
6,8,1,100,116673,23293,139966,transition
6,8,2,85,108685,23286,131971,transition
6,9,0,100,157203,31563,188766,transition
6,9,1,100,154862,23285,178147,transition
6,9,2,85,138392,23278,161670,transition
6,10,0,100,175963,31540,207503,native
6,10,1,100,174181,23310,197491,native
6,10,2,100,178181,23375,201556,native
6,11,0,100,175852,31797,207649,transition
6,11,1,100,173816,23296,197112,transition
6,11,2,85,153208,23314,176522,transition
6,12,0,100,142155,31578,173733,transition
6,12,1,100,139812,23305,163117,transition
6,12,2,85,127221,23284,150505,transition
6,13,0,100,129391,31614,161005,transition
6,13,1,100,123204,23568,146772,transition
6,13,2,85,114277,23286,137563,transition
6,14,0,100,126690,31545,158235,transition
6,14,1,100,124549,23274,147823,transition
6,14,2,85,115829,23314,139143,transition
6,15,0,100,135579,31564,167143,native
6,15,1,100,133030,23838,156868,native
6,15,2,100,133212,23280,156492,native
6,16,0,100,135339,31579,166918,native
6,16,1,100,133182,23286,156468,native
6,16,2,100,132998,23281,156279,native
6,17,0,100,139119,31615,170734,native
6,17,1,100,133074,23302,156376,native
6,17,2,100,133216,23280,156496,native
6,18,0,100,135287,31594,166881,native
6,18,1,100,133031,23299,156330,native
6,18,2,100,133092,23304,156396,native
6,19,0,100,135211,31552,166763,native
6,19,1,100,133798,23325,157123,native
6,19,2,100,133074,23308,156382,native
7,1,0,100,115265,31581,146846,drag
7,1,1,100,112955,23311,136266,drag
7,1,2,65,86791,23337,110128,drag
7,2,0,100,96337,31565,127902,drag
7,2,1,100,94441,23319,117760,drag
7,2,2,65,77757,23293,101050,drag
7,3,0,100,113058,31580,144638,drag
7,3,1,100,110474,23286,133760,drag
7,3,2,65,86036,23287,109323,drag
7,4,0,100,104182,31578,135760,drag
7,4,1,100,101409,23538,124947,drag
7,4,2,65,81430,23288,104718,drag
7,5,0,100,119179,31565,150744,drag
7,5,1,100,116665,23338,140003,drag
7,5,2,65,93309,23404,116713,drag
