car,track,frame,mode,draw,present,upscale,player,opponents,total
2,0,6,0,122095,31490,14343,32170,49896,153585
2,0,6,1,126994,31473,20238,32282,49873,158467
2,0,7,0,100185,31470,14310,35231,28654,131655
2,0,7,1,105501,31480,20238,35060,28132,136981
2,0,8,0,132859,31491,14360,37885,57301,164350
2,0,8,1,140005,31467,20257,38168,58349,171472
2,0,9,0,127668,31506,14305,35924,54485,159174
2,0,9,1,133602,31476,20220,35904,54506,165078
2,0,10,0,131554,31516,14315,38126,57007,163070
2,0,10,1,136314,31480,20218,38111,57019,167794
2,0,11,0,113999,31435,14344,38396,28468,145434
2,0,11,1,120855,31455,20621,38783,28523,152310
2,0,12,0,126950,31504,14320,34963,51825,158454
2,0,12,1,131477,31701,20258,33870,51619,163178
2,1,1,0,134601,31505,14863,37534,55101,166106
2,1,1,1,140001,31480,20223,37335,55191,171481
2,1,2,0,111884,31484,14326,27525,42054,143368
2,1,2,1,118972,31482,20279,27753,43130,150454
2,1,3,0,101387,31475,14374,35775,28680,132862
2,1,3,1,106820,31454,20240,35646,28167,138274
2,1,4,0,133954,31493,14303,39187,58820,165447
2,1,4,1,168215,31460,20229,39243,58797,199675
2,1,5,0,135768,31490,14335,37541,55391,167258
2,1,5,1,141684,32166,20215,37543,55332,173850
2,1,6,0,111977,31465,14336,27543,42071,143442
2,1,6,1,119179,31486,20285,27753,43183,150665
2,1,7,0,100457,31407,14296,35636,28176,131864
2,1,7,1,107116,31461,20230,35665,28696,138577
2,1,8,0,133893,31527,14311,39182,58806,165420
2,1,8,1,168126,31465,20219,39253,58796,199591
2,1,9,0,134422,31478,14308,37479,55255,165900
2,1,9,1,141245,31491,20727,37700,55324,172736
2,1,10,0,111987,31471,14332,27546,42087,143458
2,1,10,1,119353,31492,20282,27761,43432,150845
2,1,11,0,101679,31474,14348,35622,28232,133153
2,1,11,1,108156,31469,20227,35657,28132,139625
2,1,12,0,141333,31470,14353,41618,61762,172803
2,1,12,1,176212,31491,20231,41699,62112,207703
3,0,1,0,118819,31464,14356,38205,44646,150283
3,0,1,1,124446,31478,20214,38254,44747,155924
3,0,2,0,120249,31473,14307,37867,43625,151722
3,0,2,1,126140,31499,20251,37947,43603,157639
3,0,3,0,97428,31464,14322,37168,22862,128892
3,0,3,1,103400,31933,20241,37194,22831,135333
3,0,4,0,123819,31480,14310,41481,46492,155299
3,0,4,1,129601,31489,20215,41515,46584,161090
3,0,5,0,131734,31488,14348,38480,44949,163222
3,0,5,1,137662,31995,20258,38431,45025,169657
3,0,6,0,122288,31476,14352,38282,45014,153764
3,0,6,1,128144,31481,20252,38376,45106,159625
3,0,7,0,101631,31456,14331,41662,23636,133087
3,0,7,1,108345,31465,20727,41898,23649,139810
3,0,8,0,135145,31466,14341,45061,52427,166611
3,0,8,1,141025,31723,20217,45134,52470,172748
3,0,9,0,129428,31467,14334,42683,49594,160895
3,0,9,1,136145,31498,20224,42868,50056,167643
3,0,10,0,132852,31462,14314,45360,52089,164314
3,0,10,1,138972,31462,20450,45455,52178,170434
3,0,11,0,116526,31477,14367,45470,23960,148003
3,0,11,1,122569,31457,20230,45473,24025,154026
3,0,12,0,127171,31712,14365,40142,46804,158883
3,0,12,1,134486,31463,20231,41408,47066,165949
3,1,1,0,136288,31484,14350,44347,50400,167772
3,1,1,1,171424,31455,20234,45039,50472,202879
3,1,2,0,113274,31490,14324,33277,37752,144764
3,1,2,1,119392,31473,20253,33538,37810,150865
3,1,3,0,102947,31476,14321,42430,23621,134423
3,1,3,1,109086,31460,20236,42464,23582,140546
3,1,4,0,136511,31472,14333,46484,54034,167983
3,1,4,1,142602,31475,20238,46771,54085,174077
3,1,5,0,138133,31481,14317,44652,50694,169614
3,1,5,1,172819,31491,20210,44663,50735,204310
3,1,6,0,113378,31723,14315,33264,37790,145101
3,1,6,1,120707,31453,20241,34471,37954,152160
3,1,7,0,102667,31493,14341,42378,23638,134160
3,1,7,1,108742,31476,20224,42433,23662,140218
3,1,8,0,136469,31699,14352,46472,53994,168168
3,1,8,1,142241,31497,20235,46504,54041,173738
3,1,9,0,136938,31486,14353,44523,50628,168424
3,1,9,1,171668,31467,20224,44636,50630,203135
3,1,10,0,113352,31482,14327,33274,37745,144834
3,1,10,1,121054,31499,20286,33962,38971,152553
3,1,11,0,103928,31457,14337,42445,23607,135385
