car,track,frame,mode,draw,present,track_us,prepare,raster,blit,player,opponents,upscale,hud,crc,total
0,1,7,0,134150,31434,19827,17081,33181,7137,38709,25121,20195,7584,2378190046,165584
0,1,7,1,100944,31419,12751,17148,28139,7120,34912,23894,20192,3553,2378190046,132363
0,1,8,0,130172,31461,13591,23474,51958,11797,38657,48703,20176,3364,1105329341,161633
0,1,8,1,121411,31463,13310,23871,42758,11773,35382,43173,20678,3345,1105329341,152874
0,1,9,0,142675,31476,14912,23511,58602,16431,44997,53685,20196,3367,3799474637,174151
0,1,9,1,132598,31469,14897,23566,48315,16447,40648,47813,20192,3387,3799474637,164067
0,1,10,0,138473,31498,19371,23533,51512,14738,38332,51588,20204,3347,493810058,169971
0,1,10,1,130002,31427,19571,23437,42934,14841,34873,46471,20183,3355,493810058,161429
0,1,11,0,108444,31436,19714,23532,28097,6735,33832,25828,20212,3335,1628614436,139880
0,1,11,1,104191,31447,20182,23412,24426,6722,29933,24759,20199,3386,1628614436,135638
0,1,12,0,117418,31483,18630,23441,38960,7104,29664,39981,20198,3328,2506995509,148901
0,1,12,1,111616,31471,18623,23402,33312,7111,27316,36638,20198,3318,2506995509,143087
0,1,13,0,122085,31489,14141,23996,44635,10058,33101,45722,20181,3347,1811618199,153574
0,1,13,1,143668,31446,21186,23484,37946,10097,30512,41146,20197,7580,1811618199,175114
0,1,14,0,125096,31488,12929,23488,48870,10532,35755,47279,20194,3362,2078776065,156584
0,1,14,1,116545,31452,12890,23523,40418,10528,32442,42192,20197,3349,2078776065,147997
0,1,15,0,107080,31482,11920,17118,35944,6473,40917,25069,20196,3489,3234720613,138562
0,1,15,1,101676,31466,11946,17163,30312,6453,36536,23872,20221,3496,3234720613,133142
0,1,16,0,135825,31955,12385,23461,57610,13022,39604,54625,20180,3404,111381576,167780
0,1,16,1,125762,31470,12354,23554,47500,13021,35573,48631,20176,3408,111381576,157232
